subject,block_number,block_type,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1630945779290,7,complex_dissimilar,curiosity,NA,6,background,2060.300000190735,images/stimuli/complex_03_A_a.gif,curiosity_background,4
SS1630945779290,8,simple_dissimilar,curiosity,6,1,background,3710.5999999046326,images/stimuli/simple_09_A_a.gif,curiosity_novel,0
SS1630945779290,8,simple_dissimilar,curiosity,6,2,background,833.7999999523163,images/stimuli/simple_09_A_a.gif,curiosity_novel,0
SS1630945779290,8,simple_dissimilar,curiosity,6,3,background,1715.1000001430511,images/stimuli/simple_09_A_a.gif,curiosity_novel,0
SS1630945779290,8,simple_dissimilar,curiosity,6,4,background,628.2999999523163,images/stimuli/simple_09_A_a.gif,curiosity_novel,0
SS1630945779290,8,simple_dissimilar,curiosity,6,5,background,2281.5,images/stimuli/simple_09_A_a.gif,curiosity_novel,0
SS1630945779290,8,simple_dissimilar,curiosity,6,6,deviant,4210.900000095367,images/stimuli/simple_03_A_a.gif,curiosity_novel,0
SS1630945851097,1,simple_dissimilar,curiosity,NA,1,background,8554.399999976158,images/stimuli/simple_12_A_a.gif,curiosity_background,3
SS1630945851097,1,simple_dissimilar,curiosity,NA,2,background,8644.399999976158,images/stimuli/simple_12_A_a.gif,curiosity_background,3
SS1630945851097,1,simple_dissimilar,curiosity,NA,3,background,5095.899999976158,images/stimuli/simple_12_A_a.gif,curiosity_background,3
SS1630945851097,1,simple_dissimilar,curiosity,NA,4,background,554.3999999761581,images/stimuli/simple_12_A_a.gif,curiosity_background,3
SS1630945851097,1,simple_dissimilar,curiosity,NA,5,background,2896.2000000476837,images/stimuli/simple_12_A_a.gif,curiosity_background,3
SS1630945851097,1,simple_dissimilar,curiosity,NA,6,background,10356.399999976158,images/stimuli/simple_12_A_a.gif,curiosity_background,3
SS1630945851097,2,complex_dissimilar,curiosity,4,1,background,6199.199999928474,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630945851097,2,complex_dissimilar,curiosity,4,2,background,2266.5,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630945851097,2,complex_dissimilar,curiosity,4,3,background,4969.199999928474,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630945851097,2,complex_dissimilar,curiosity,4,4,deviant,6268,images/stimuli/complex_11_A_a.gif,curiosity_background,4
SS1630945851097,2,complex_dissimilar,curiosity,4,5,background,6087.700000047684,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630945851097,2,complex_dissimilar,curiosity,4,6,background,1582.3999999761581,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630945851097,3,simple_dissimilar,curiosity,6,1,background,3752.399999976158,images/stimuli/simple_05_A_a.gif,curiosity_background,3
SS1630945851097,3,simple_dissimilar,curiosity,6,2,background,1095,images/stimuli/simple_05_A_a.gif,curiosity_background,3
SS1630945851097,3,simple_dissimilar,curiosity,6,3,background,1423.1999999284744,images/stimuli/simple_05_A_a.gif,curiosity_background,3
SS1630945851097,3,simple_dissimilar,curiosity,6,4,background,553.3999999761581,images/stimuli/simple_05_A_a.gif,curiosity_background,3
SS1630945851097,3,simple_dissimilar,curiosity,6,5,background,1660,images/stimuli/simple_05_A_a.gif,curiosity_background,3
SS1630945851097,3,simple_dissimilar,curiosity,6,6,deviant,3365.100000023842,images/stimuli/simple_07_A_a.gif,curiosity_background,3
SS1630945851097,4,simple_dissimilar,curiosity,2,1,background,2846.600000023842,images/stimuli/simple_19_A_a.gif,curiosity_background,2
SS1630945851097,4,simple_dissimilar,curiosity,2,2,deviant,2750.7000000476837,images/stimuli/simple_09_A_a.gif,curiosity_background,2
SS1630945851097,4,simple_dissimilar,curiosity,2,3,background,5059.299999952316,images/stimuli/simple_19_A_a.gif,curiosity_background,2
SS1630945851097,4,simple_dissimilar,curiosity,2,4,background,590.5,images/stimuli/simple_19_A_a.gif,curiosity_background,2
SS1630945851097,4,simple_dissimilar,curiosity,2,5,background,1496.3000000715256,images/stimuli/simple_19_A_a.gif,curiosity_background,2
SS1630945851097,4,simple_dissimilar,curiosity,2,6,background,1317.8000000715256,images/stimuli/simple_19_A_a.gif,curiosity_background,2
SS1630945851097,5,complex_dissimilar,curiosity,2,1,background,5586,images/stimuli/complex_09_A_a.gif,curiosity_background,3
SS1630945851097,5,complex_dissimilar,curiosity,2,2,deviant,4563.800000071526,images/stimuli/complex_08_A_a.gif,curiosity_background,3
SS1630945851097,5,complex_dissimilar,curiosity,2,3,background,942.8999999761581,images/stimuli/complex_09_A_a.gif,curiosity_background,3
SS1630945851097,5,complex_dissimilar,curiosity,2,4,background,3199.399999976158,images/stimuli/complex_09_A_a.gif,curiosity_background,3
SS1630945851097,5,complex_dissimilar,curiosity,2,5,background,531,images/stimuli/complex_09_A_a.gif,curiosity_background,3
SS1630945851097,5,complex_dissimilar,curiosity,2,6,background,844.4000000953674,images/stimuli/complex_09_A_a.gif,curiosity_background,3
SS1630945851097,6,complex_dissimilar,curiosity,6,1,background,24027.300000071526,images/stimuli/complex_04_A_a.gif,curiosity_novel,3
SS1630945851097,6,complex_dissimilar,curiosity,6,2,background,5781.700000047684,images/stimuli/complex_04_A_a.gif,curiosity_novel,3
SS1630945851097,6,complex_dissimilar,curiosity,6,3,background,529.1999999284744,images/stimuli/complex_04_A_a.gif,curiosity_novel,3
SS1630945851097,6,complex_dissimilar,curiosity,6,4,background,3194.600000023842,images/stimuli/complex_04_A_a.gif,curiosity_novel,3
SS1630945851097,6,complex_dissimilar,curiosity,6,5,background,949.7000000476837,images/stimuli/complex_04_A_a.gif,curiosity_novel,3
SS1630945851097,6,complex_dissimilar,curiosity,6,6,deviant,6258.100000023842,images/stimuli/complex_01_A_a.gif,curiosity_novel,3
SS1630945851097,7,complex_dissimilar,curiosity,NA,1,background,2760.3000000715256,images/stimuli/complex_03_A_a.gif,curiosity_background,3
SS1630945851097,7,complex_dissimilar,curiosity,NA,2,background,590.3999999761581,images/stimuli/complex_03_A_a.gif,curiosity_background,3
SS1630945851097,7,complex_dissimilar,curiosity,NA,3,background,527.2999999523163,images/stimuli/complex_03_A_a.gif,curiosity_background,3
SS1630945851097,7,complex_dissimilar,curiosity,NA,4,background,1784.6000000238419,images/stimuli/complex_03_A_a.gif,curiosity_background,3
SS1630945851097,7,complex_dissimilar,curiosity,NA,5,background,1073,images/stimuli/complex_03_A_a.gif,curiosity_background,3
SS1630945851097,7,complex_dissimilar,curiosity,NA,6,background,923.2999999523163,images/stimuli/complex_03_A_a.gif,curiosity_background,3
SS1630945851097,8,simple_dissimilar,curiosity,4,1,background,1713.2999999523163,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630945851097,8,simple_dissimilar,curiosity,4,2,background,1438.3999999761581,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630945851097,8,simple_dissimilar,curiosity,4,3,background,955.5,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630945851097,8,simple_dissimilar,curiosity,4,4,deviant,801.6000000238419,images/stimuli/simple_02_A_a.gif,curiosity_background,2
SS1630945851097,8,simple_dissimilar,curiosity,4,5,background,948.1000000238419,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630945851097,8,simple_dissimilar,curiosity,4,6,background,555,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630946047579,1,simple_dissimilar,curiosity,6,1,background,5662,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630946047579,1,simple_dissimilar,curiosity,6,2,background,2829,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630946047579,1,simple_dissimilar,curiosity,6,3,background,1249,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630946047579,1,simple_dissimilar,curiosity,6,4,background,589,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630946047579,1,simple_dissimilar,curiosity,6,5,background,848,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630946047579,1,simple_dissimilar,curiosity,6,6,deviant,1389,images/stimuli/simple_20_A_a.gif,curiosity_novel,1
SS1630946047579,2,simple_dissimilar,curiosity,2,1,background,7198,images/stimuli/simple_14_A_a.gif,curiosity_background,2
SS1630946047579,2,simple_dissimilar,curiosity,2,2,deviant,548,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630946047579,2,simple_dissimilar,curiosity,2,3,background,3357,images/stimuli/simple_14_A_a.gif,curiosity_background,2
SS1630946047579,2,simple_dissimilar,curiosity,2,4,background,594,images/stimuli/simple_14_A_a.gif,curiosity_background,2
SS1630946047579,2,simple_dissimilar,curiosity,2,5,background,558,images/stimuli/simple_14_A_a.gif,curiosity_background,2
SS1630946047579,2,simple_dissimilar,curiosity,2,6,background,1355,images/stimuli/simple_14_A_a.gif,curiosity_background,2
SS1630946047579,3,complex_dissimilar,curiosity,4,1,background,3569,images/stimuli/complex_08_A_a.gif,curiosity_background,3
SS1630946047579,3,complex_dissimilar,curiosity,4,2,background,1910,images/stimuli/complex_08_A_a.gif,curiosity_background,3
SS1630946047579,3,complex_dissimilar,curiosity,4,3,background,956,images/stimuli/complex_08_A_a.gif,curiosity_background,3
SS1630946047579,3,complex_dissimilar,curiosity,4,4,deviant,4489,images/stimuli/complex_12_A_a.gif,curiosity_background,3
SS1630946047579,3,complex_dissimilar,curiosity,4,5,background,735,images/stimuli/complex_08_A_a.gif,curiosity_background,3
SS1630946047579,3,complex_dissimilar,curiosity,4,6,background,1475,images/stimuli/complex_08_A_a.gif,curiosity_background,3
SS1630946047579,4,complex_dissimilar,curiosity,2,2,deviant,701,images/stimuli/complex_20_A_a.gif,curiosity_background,2
SS1630946047579,4,complex_dissimilar,curiosity,2,3,background,1706,images/stimuli/complex_14_A_a.gif,curiosity_background,2
SS1630946047579,4,complex_dissimilar,curiosity,2,4,background,6809,images/stimuli/complex_14_A_a.gif,curiosity_background,2
SS1630946047579,4,complex_dissimilar,curiosity,2,5,background,1295,images/stimuli/complex_14_A_a.gif,curiosity_background,2
SS1630946047579,4,complex_dissimilar,curiosity,2,6,background,3903,images/stimuli/complex_14_A_a.gif,curiosity_background,2
SS1630946047579,5,complex_dissimilar,curiosity,6,1,background,3269,images/stimuli/complex_13_A_a.gif,curiosity_background,3
SS1630946047579,5,complex_dissimilar,curiosity,6,2,background,1240,images/stimuli/complex_13_A_a.gif,curiosity_background,3
SS1630946047579,5,complex_dissimilar,curiosity,6,3,background,627,images/stimuli/complex_13_A_a.gif,curiosity_background,3
SS1630946047579,5,complex_dissimilar,curiosity,6,4,background,1352,images/stimuli/complex_13_A_a.gif,curiosity_background,3
SS1630946047579,5,complex_dissimilar,curiosity,6,5,background,1548,images/stimuli/complex_13_A_a.gif,curiosity_background,3
SS1630946047579,5,complex_dissimilar,curiosity,6,6,deviant,1052,images/stimuli/complex_06_A_a.gif,curiosity_background,3
SS1630946047579,6,simple_dissimilar,curiosity,4,1,background,1086,images/stimuli/simple_04_A_a.gif,curiosity_background,0
SS1630946047579,6,simple_dissimilar,curiosity,4,2,background,1755,images/stimuli/simple_04_A_a.gif,curiosity_background,0
SS1630946047579,6,simple_dissimilar,curiosity,4,3,background,856,images/stimuli/simple_04_A_a.gif,curiosity_background,0
SS1630946047579,6,simple_dissimilar,curiosity,4,4,deviant,640,images/stimuli/simple_11_A_a.gif,curiosity_background,0
SS1630946047579,6,simple_dissimilar,curiosity,4,5,background,904,images/stimuli/simple_04_A_a.gif,curiosity_background,0
SS1630946047579,6,simple_dissimilar,curiosity,4,6,background,712,images/stimuli/simple_04_A_a.gif,curiosity_background,0
SS1630946047579,7,complex_dissimilar,curiosity,NA,1,background,2557,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630946047579,7,complex_dissimilar,curiosity,NA,2,background,762,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630946047579,7,complex_dissimilar,curiosity,NA,3,background,505,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630946047579,7,complex_dissimilar,curiosity,NA,4,background,962,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630946047579,7,complex_dissimilar,curiosity,NA,5,background,971,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630946047579,7,complex_dissimilar,curiosity,NA,6,background,654,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630946047579,8,simple_dissimilar,curiosity,NA,1,background,38959,images/stimuli/simple_05_A_a.gif,curiosity_background,2
SS1630946047579,8,simple_dissimilar,curiosity,NA,2,background,587,images/stimuli/simple_05_A_a.gif,curiosity_background,2
SS1630946047579,8,simple_dissimilar,curiosity,NA,3,background,1053,images/stimuli/simple_05_A_a.gif,curiosity_background,2
SS1630946047579,8,simple_dissimilar,curiosity,NA,4,background,962,images/stimuli/simple_05_A_a.gif,curiosity_background,2
SS1630946047579,8,simple_dissimilar,curiosity,NA,5,background,526,images/stimuli/simple_05_A_a.gif,curiosity_background,2
SS1630946047579,8,simple_dissimilar,curiosity,NA,6,background,966,images/stimuli/simple_05_A_a.gif,curiosity_background,2
SS1630948678486,1,complex_dissimilar,curiosity,4,3,background,647,images/stimuli/complex_15_A_a.gif,curiosity_background,2
SS1630948678486,1,complex_dissimilar,curiosity,4,4,deviant,501,images/stimuli/complex_09_A_a.gif,curiosity_background,2
SS1630948678486,1,complex_dissimilar,curiosity,4,5,background,831,images/stimuli/complex_15_A_a.gif,curiosity_background,2
SS1630948678486,1,complex_dissimilar,curiosity,4,6,background,1356,images/stimuli/complex_15_A_a.gif,curiosity_background,2
SS1630948678486,2,simple_dissimilar,curiosity,2,1,background,4433,images/stimuli/simple_07_A_a.gif,curiosity_background,3
SS1630948678486,2,simple_dissimilar,curiosity,2,2,deviant,1140,images/stimuli/simple_12_A_a.gif,curiosity_background,3
SS1630948678486,2,simple_dissimilar,curiosity,2,3,background,729,images/stimuli/simple_07_A_a.gif,curiosity_background,3
SS1630948678486,2,simple_dissimilar,curiosity,2,4,background,777,images/stimuli/simple_07_A_a.gif,curiosity_background,3
SS1630948678486,2,simple_dissimilar,curiosity,2,5,background,988,images/stimuli/simple_07_A_a.gif,curiosity_background,3
SS1630948678486,2,simple_dissimilar,curiosity,2,6,background,2118,images/stimuli/simple_07_A_a.gif,curiosity_background,3
SS1630948678486,3,complex_dissimilar,curiosity,2,1,background,2507,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630948678486,3,complex_dissimilar,curiosity,2,2,deviant,905,images/stimuli/complex_08_A_a.gif,curiosity_background,4
SS1630948678486,3,complex_dissimilar,curiosity,2,3,background,1224,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630948678486,3,complex_dissimilar,curiosity,2,4,background,922,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630948678486,3,complex_dissimilar,curiosity,2,5,background,1559,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630948678486,3,complex_dissimilar,curiosity,2,6,background,594,images/stimuli/complex_06_A_a.gif,curiosity_background,4
SS1630948678486,4,complex_dissimilar,curiosity,NA,1,background,27539,images/stimuli/complex_18_A_a.gif,curiosity_novel,1
SS1630948678486,4,complex_dissimilar,curiosity,NA,2,background,2986,images/stimuli/complex_18_A_a.gif,curiosity_novel,1
SS1630948678486,4,complex_dissimilar,curiosity,NA,3,background,1658,images/stimuli/complex_18_A_a.gif,curiosity_novel,1
SS1630948678486,4,complex_dissimilar,curiosity,NA,4,background,1788,images/stimuli/complex_18_A_a.gif,curiosity_novel,1
SS1630948678486,4,complex_dissimilar,curiosity,NA,5,background,574,images/stimuli/complex_18_A_a.gif,curiosity_novel,1
SS1630948678486,4,complex_dissimilar,curiosity,NA,6,background,1547,images/stimuli/complex_18_A_a.gif,curiosity_novel,1
SS1630948678486,5,simple_dissimilar,curiosity,4,1,background,4281,images/stimuli/simple_08_A_a.gif,curiosity_background,2
SS1630948678486,5,simple_dissimilar,curiosity,4,2,background,729,images/stimuli/simple_08_A_a.gif,curiosity_background,2
SS1630948678486,5,simple_dissimilar,curiosity,4,3,background,1857,images/stimuli/simple_08_A_a.gif,curiosity_background,2
SS1630948678486,5,simple_dissimilar,curiosity,4,4,deviant,967,images/stimuli/simple_01_A_a.gif,curiosity_background,2
SS1630948678486,5,simple_dissimilar,curiosity,4,5,background,1078,images/stimuli/simple_08_A_a.gif,curiosity_background,2
SS1630948678486,5,simple_dissimilar,curiosity,4,6,background,924,images/stimuli/simple_08_A_a.gif,curiosity_background,2
SS1630948678486,6,complex_dissimilar,curiosity,6,1,background,15847,images/stimuli/complex_01_A_a.gif,curiosity_background,3
SS1630948678486,6,complex_dissimilar,curiosity,6,2,background,4537,images/stimuli/complex_01_A_a.gif,curiosity_background,3
SS1630948678486,6,complex_dissimilar,curiosity,6,3,background,600,images/stimuli/complex_01_A_a.gif,curiosity_background,3
SS1630948678486,6,complex_dissimilar,curiosity,6,4,background,671,images/stimuli/complex_01_A_a.gif,curiosity_background,3
SS1630948678486,6,complex_dissimilar,curiosity,6,5,background,30994,images/stimuli/complex_01_A_a.gif,curiosity_background,3
SS1630948678486,6,complex_dissimilar,curiosity,6,6,deviant,538,images/stimuli/complex_13_A_a.gif,curiosity_background,3
SS1630948678486,7,simple_dissimilar,curiosity,6,1,background,1567,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630948678486,7,simple_dissimilar,curiosity,6,2,background,1017,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630948678486,7,simple_dissimilar,curiosity,6,3,background,584,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630948678486,7,simple_dissimilar,curiosity,6,4,background,530,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630948678486,7,simple_dissimilar,curiosity,6,5,background,1273,images/stimuli/simple_13_A_a.gif,curiosity_background,2
SS1630948678486,7,simple_dissimilar,curiosity,6,6,deviant,1111,images/stimuli/simple_09_A_a.gif,curiosity_background,2
SS1630948678486,8,simple_dissimilar,curiosity,NA,1,background,640,images/stimuli/simple_02_A_a.gif,curiosity_background,3
SS1630948678486,8,simple_dissimilar,curiosity,NA,2,background,885,images/stimuli/simple_02_A_a.gif,curiosity_background,3
SS1630948678486,8,simple_dissimilar,curiosity,NA,3,background,1653,images/stimuli/simple_02_A_a.gif,curiosity_background,3
SS1630948678486,8,simple_dissimilar,curiosity,NA,4,background,738,images/stimuli/simple_02_A_a.gif,curiosity_background,3
SS1630948678486,8,simple_dissimilar,curiosity,NA,5,background,843,images/stimuli/simple_02_A_a.gif,curiosity_background,3
SS1630948678486,8,simple_dissimilar,curiosity,NA,6,background,779,images/stimuli/simple_02_A_a.gif,curiosity_background,3
SS1630948755198,1,complex_dissimilar,curiosity,6,1,background,5095.800000011921,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948755198,1,complex_dissimilar,curiosity,6,2,background,5436.5,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948755198,1,complex_dissimilar,curiosity,6,3,background,4220.200000017881,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948755198,1,complex_dissimilar,curiosity,6,4,background,7382.200000017881,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948755198,1,complex_dissimilar,curiosity,6,5,background,6178.4000000059605,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948755198,1,complex_dissimilar,curiosity,6,6,deviant,16205,images/stimuli/complex_07_A_a.gif,curiosity_novel,2
SS1630948755198,2,complex_dissimilar,curiosity,NA,2,background,2048.600000023842,images/stimuli/complex_03_A_a.gif,curiosity_novel,3
SS1630948755198,2,complex_dissimilar,curiosity,NA,3,background,1632.3999999761581,images/stimuli/complex_03_A_a.gif,curiosity_novel,3
SS1630948755198,2,complex_dissimilar,curiosity,NA,4,background,1455.2999999821186,images/stimuli/complex_03_A_a.gif,curiosity_novel,3
SS1630948755198,2,complex_dissimilar,curiosity,NA,5,background,3740.5999999940395,images/stimuli/complex_03_A_a.gif,curiosity_novel,3
SS1630948755198,2,complex_dissimilar,curiosity,NA,6,background,1357.5,images/stimuli/complex_03_A_a.gif,curiosity_novel,3
SS1630948755198,3,simple_dissimilar,curiosity,4,1,background,5688.9000000059605,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630948755198,3,simple_dissimilar,curiosity,4,2,background,2735.800000011921,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630948755198,3,simple_dissimilar,curiosity,4,3,background,2383.5,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630948755198,3,simple_dissimilar,curiosity,4,4,deviant,1762.7999999821186,images/stimuli/simple_08_A_a.gif,curiosity_background,4
SS1630948755198,3,simple_dissimilar,curiosity,4,5,background,1760,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630948755198,3,simple_dissimilar,curiosity,4,6,background,1555.9000000059605,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630948755198,4,complex_dissimilar,curiosity,4,1,background,2351.199999988079,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630948755198,4,complex_dissimilar,curiosity,4,2,background,2322.2000000178814,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630948755198,4,complex_dissimilar,curiosity,4,3,background,2047.8999999761581,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630948755198,4,complex_dissimilar,curiosity,4,4,deviant,1446.0999999940395,images/stimuli/complex_19_A_a.gif,curiosity_novel,3
SS1630948755198,4,complex_dissimilar,curiosity,4,5,background,1818.699999988079,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630948755198,4,complex_dissimilar,curiosity,4,6,background,2382.9000000059605,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630948755198,5,complex_dissimilar,curiosity,2,1,background,2080.2000000178814,images/stimuli/complex_11_A_a.gif,curiosity_novel,1
SS1630948755198,5,complex_dissimilar,curiosity,2,2,deviant,8567.40000000596,images/stimuli/complex_02_A_a.gif,curiosity_novel,1
SS1630948755198,5,complex_dissimilar,curiosity,2,3,background,980.9000000059605,images/stimuli/complex_11_A_a.gif,curiosity_novel,1
SS1630948755198,5,complex_dissimilar,curiosity,2,4,background,1570.300000011921,images/stimuli/complex_11_A_a.gif,curiosity_novel,1
